gene_name,sample,expression,group
Gene_1,sample_1,1,group_1
Gene_1,sample_2,1.5,group_1
Gene_1,sample_3,2,group_1
Gene_1,sample_4,8,group_2
Gene_1,sample_5,9,group_2
Gene_1,sample_6,10,group_2
Gene_2,sample_1,2,group_1
Gene_2,sample_2,3,group_1
Gene_2,sample_3,4,group_1
Gene_2,sample_4,10,group_2
Gene_2,sample_5,11,group_2
Gene_2,sample_6,12,group_2
Gene_3,sample_1,5,group_1
Gene_3,sample_2,6,group_1
Gene_3,sample_3,7,group_1
Gene_3,sample_4,15,group_2
Gene_3,sample_5,16,group_2
Gene_3,sample_6,17,group_2
